name	numbers	percent
Financials 	597825397	29%
Information Technology 	417230941	20%
Real Estate 	287396158	14%
Healthcare	275836427	13%
Utilities 	171652300	8%
Energy	152478000	7%
Consumer Discretionary 	86477320	4%
Consumer Staples 	33270000	2%
Industrials 	28103046	2%
Other 	19554700	1%
Materials 	5000000	0%
Telecommunications 	3550000	0%
