name	numbers	percent
Information Technology 	70	28%
Healthcare	46	18%
Consumer Discretionary	36	14%
Consumer Staples	27	11%
Real Estate 	27	11%
Energy	15	6%
Other 	9	4%
Financials	8	3%
Industrial	7	3%
Materials 	3	1%
Utilities	2	1%
Telecommunications	0	0%
