name	numbers	percent
$0 - $499,999	23	9%
$500,000 - $999,999	61	24%
$1,000,000 - $4,999,999	106	42%
$5,000,000 - $9,999,999	28	46%
$10,000,000 - $49,999,999	30	12%
$50,000,000 or more	3	1%
