name	numbers	percent
Information Technology 	321773067	25%
Real Estate 	306089770	24%
Healthcare	231465888	18%
Consumer Discretionary 	173293926	14%
Consumer Staples 	104500000	8%
Energy	53998017	4%
Financials 	25650000	2%
Other 	24000000	2%
Utilities 	17300000	2%
Industrials 	16795000	1%
Materials 	4025000	0%
Telecommunications 	0	0%
